date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:43:33	64553/64553	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:28%20GMT	http://ebon.vn//thuong-hieu/lativ-m227/?order=3	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/lativ-m227/indexf7a5.html	(from http://ebon.vn/thuong-hieu/lativ-m227/)
06:43:33	99775/99775	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:29%20GMT	http://ebon.vn/ao-khoac-nam-long-vu-lativ-hang-xuat-du-ak136/4750.html	C:/My%20Web%20Sites/quanao/ebon.vn/ao-khoac-nam-long-vu-lativ-hang-xuat-du-ak136/4750.html	(from http://ebon.vn/thuong-hieu/lativ-m227/)
06:43:34	64553/64553	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:29%20GMT	http://ebon.vn//thuong-hieu/lativ-m227/?order=4	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/lativ-m227/indexef36.html	(from http://ebon.vn/thuong-hieu/lativ-m227/)
06:43:35	16985/16985	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Nov%202016%2011:36:25%20GMT	http://ebon.vn/data/product/20/100/46/small/ao-khoac-nam-long-vu-lativ-hang-xuat-du-ak136-1480419384-240.jpg	C:/My%20Web%20Sites/quanao/ebon.vn/data/product/20/100/46/small/ao-khoac-nam-long-vu-lativ-hang-xuat-du-ak136-1480419384-240.jpg	(from http://ebon.vn/thuong-hieu/lativ-m227/)
06:43:36	67271/67271	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:32%20GMT	http://ebon.vn/quan-ao-nam-lyle-and-scott/5-m266/	C:/My%20Web%20Sites/quanao/ebon.vn/quan-ao-nam-lyle-and-scott/5-m266/index.html	(from http://ebon.vn/thuong-hieu/lyle-and-scott-m266/)
06:43:36	61658/61658	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:32%20GMT	http://ebon.vn//thuong-hieu/lyle-and-scott-m266/?price=1	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/lyle-and-scott-m266/indexfe80.html	(from http://ebon.vn/thuong-hieu/lyle-and-scott-m266/)
06:43:37	61683/61683	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:32%20GMT	http://ebon.vn//thuong-hieu/lyle-and-scott-m266/?price=2	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/lyle-and-scott-m266/index5c3b.html	(from http://ebon.vn/thuong-hieu/lyle-and-scott-m266/)
06:43:37	66773/66773	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:33%20GMT	http://ebon.vn//thuong-hieu/lyle-and-scott-m266/?price=3	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/lyle-and-scott-m266/indexbdc3.html	(from http://ebon.vn/thuong-hieu/lyle-and-scott-m266/)
06:43:38	61683/61683	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:34%20GMT	http://ebon.vn//thuong-hieu/lyle-and-scott-m266/?price=4	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/lyle-and-scott-m266/index435d.html	(from http://ebon.vn/thuong-hieu/lyle-and-scott-m266/)
06:43:38	61683/61683	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:34%20GMT	http://ebon.vn//thuong-hieu/lyle-and-scott-m266/?price=5	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/lyle-and-scott-m266/index0cf2.html	(from http://ebon.vn/thuong-hieu/lyle-and-scott-m266/)
06:43:39	99996/99996	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:34%20GMT	http://ebon.vn/vi-nam-da-that-va-mem-mont-blanc-v998/4889.html	C:/My%20Web%20Sites/quanao/ebon.vn/vi-nam-da-that-va-mem-mont-blanc-v998/4889.html	(from http://ebon.vn/thuong-hieu/mont-blanc-m105/)
06:43:39	61678/61678	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:35%20GMT	http://ebon.vn//thuong-hieu/lyle-and-scott-m266/?price=6	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/lyle-and-scott-m266/index2e29.html	(from http://ebon.vn/thuong-hieu/lyle-and-scott-m266/)
06:43:40	61638/61638	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:36%20GMT	http://ebon.vn//thuong-hieu/lyle-and-scott-m266/?price=7	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/lyle-and-scott-m266/indexcba4.html	(from http://ebon.vn/thuong-hieu/lyle-and-scott-m266/)
06:43:41	66606/66606	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:36%20GMT	http://ebon.vn//thuong-hieu/lyle-and-scott-m266/?order=3	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/lyle-and-scott-m266/indexf7a5.html	(from http://ebon.vn/thuong-hieu/lyle-and-scott-m266/)
06:43:41	66606/66606	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:37%20GMT	http://ebon.vn//thuong-hieu/lyle-and-scott-m266/?order=4	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/lyle-and-scott-m266/indexef36.html	(from http://ebon.vn/thuong-hieu/lyle-and-scott-m266/)
